iteration,loss,main_loss,dice_loss,ce_loss,alpha,lr
1,4.789912700653076,1.9025973081588745,0.9981145262718201,0.9044827818870544,1.0,9.99321619703514e-05
2,4.301398277282715,1.6655595302581787,0.9980033040046692,0.6675561666488647,1.0166666666666666,9.972883382072952e-05
3,3.628568410873413,1.387317419052124,0.9995430111885071,0.38777440786361694,1.0333333333333334,9.939057285945931e-05
4,3.621519088745117,1.381626844406128,0.9995291233062744,0.3820977509021759,1.05,9.891830623632337e-05
5,3.6112852096557617,1.3728320598602295,0.9994873404502869,0.37334465980529785,1.0666666666666667,9.831332840130886e-05
6,5.50748348236084,2.1699161529541016,0.9978307485580444,1.1720855236053467,1.0833333333333333,9.75772975566101e-05
7,4.245779991149902,1.6270169019699097,0.9975566864013672,0.6294602155685425,1.1,9.671223111161148e-05
8,3.7889597415924072,1.4419944286346436,0.9989570379257202,0.4430374503135681,1.1166666666666667,9.572050015330873e-05
9,4.54195499420166,1.7571830749511719,0.9976799488067627,0.7595031261444092,1.1333333333333333,9.46048229473242e-05
10,4.194625377655029,1.5888581275939941,0.9969921112060547,0.5918660163879395,1.15,9.336825748732971e-05
11,4.265688896179199,1.6466699838638306,0.9978088140487671,0.6488611698150635,1.1666666666666667,9.201419311329847e-05
12,3.5726492404937744,1.3375368118286133,0.9992260336875916,0.3383108079433441,1.1833333333333333,9.054634122155987e-05
13,4.559337139129639,1.7594821453094482,0.9972471594810486,0.7622349262237549,1.2,8.896872509212005e-05
14,3.8109872341156006,1.435067892074585,0.9984511733055115,0.4366166591644287,1.2166666666666668,8.7285668861131e-05
15,4.90724515914917,1.9080575704574585,0.9972872734069824,0.9107702970504761,1.2333333333333334,8.550178566873408e-05
16,5.563382625579834,2.143603801727295,0.9970353245735168,1.1465684175491333,1.25,8.362196501476346e-05
17,4.180306911468506,1.5857429504394531,0.997524082660675,0.5882188677787781,1.2666666666666666,8.165135935696693e-05
18,3.675520181655884,1.365644097328186,0.9983395934104919,0.3673045039176941,1.2833333333333332,7.95953699884774e-05
19,3.7679262161254883,1.4012441635131836,0.9979296922683716,0.40331441164016724,1.3,7.745963223324382e-05
20,3.637803316116333,1.3460994958877563,0.9983651041984558,0.3477344214916229,1.3166666666666667,7.524999999999997e-05
21,3.5277318954467773,1.2978644371032715,0.9987412095069885,0.29912328720092773,1.3333333333333333,7.297252973710754e-05
22,4.509825706481934,1.7098097801208496,0.9964432120323181,0.7133666276931763,1.35,7.063346383225209e-05
23,5.95164155960083,2.302995443344116,0.9963131546974182,1.3066822290420532,1.3666666666666667,6.823921350249236e-05
24,4.855310440063477,1.8557592630386353,0.9961037039756775,0.8596555590629578,1.3833333333333333,6.579634122155988e-05
25,3.5451087951660156,1.2936216592788696,0.9981153011322021,0.2955063283443451,1.4,6.331154273257476e-05
26,3.5014424324035645,1.2744261026382446,0.9983495473861694,0.2760765254497528,1.4166666666666667,6.079162869547906e-05
27,5.021660327911377,1.9091122150421143,0.9957402348518372,0.9133719801902771,1.4333333333333333,5.824350601949141e-05
28,3.491413116455078,1.265693187713623,0.9982149004936218,0.267478346824646,1.45,5.567415893174883e-05
29,4.556440830230713,1.7212018966674805,0.9954656362533569,0.7257362008094788,1.4666666666666668,5.3090629834025695e-05
30,5.166810989379883,1.9592559337615967,0.9957364797592163,0.9635194540023804,1.4833333333333334,5.0499999999999994e-05
31,4.338778495788574,1.620872974395752,0.995695948600769,0.6251770257949829,1.5,4.7909370165974273e-05
32,3.478635311126709,1.2549841403961182,0.9979780912399292,0.25700604915618896,1.5166666666666666,4.532584106825115e-05
33,4.094139099121094,1.5088653564453125,0.9954649806022644,0.5134003758430481,1.5333333333333332,4.275649398050856e-05
34,5.063094139099121,1.909122347831726,0.9948726892471313,0.9142496585845947,1.55,4.02083713045209e-05
35,3.465808153152466,1.2434803247451782,0.997764527797699,0.24571582674980164,1.5666666666666667,3.768845726742522e-05
36,4.394227027893066,1.649097204208374,0.9951395392417908,0.653957724571228,1.5833333333333335,3.52036587784401e-05
37,4.499477386474609,1.6994695663452148,0.995154082775116,0.7043154835700989,1.6,3.276078649750763e-05
38,4.296726226806641,1.590224027633667,0.9949561357498169,0.5952679514884949,1.6166666666666667,3.0366536167747885e-05
39,4.404200553894043,1.6495147943496704,0.9945383071899414,0.654976487159729,1.6333333333333333,2.802747026289243e-05
40,3.730072498321533,1.3460516929626465,0.9961123466491699,0.3499392867088318,1.65,2.5750000000000006e-05
41,3.492077350616455,1.248470664024353,0.9970971941947937,0.2513734698295593,1.6666666666666665,2.354036776675617e-05
42,3.453327178955078,1.2336970567703247,0.9974528551101685,0.23624415695667267,1.6833333333333333,2.1404630011522583e-05
43,4.155218124389648,1.54024076461792,0.9947494864463806,0.5454912185668945,1.7,1.9348640643033054e-05
44,3.4480435848236084,1.2291996479034424,0.997345507144928,0.2318541407585144,1.7166666666666668,1.7378034985236535e-05
45,4.523222923278809,1.6852062940597534,0.9942871332168579,0.6909191608428955,1.7333333333333334,1.54982143312659e-05
46,4.429308891296387,1.650968313217163,0.9940609335899353,0.656907320022583,1.75,1.3714331138868992e-05
47,3.659255027770996,1.3143527507781982,0.9960015416145325,0.318351149559021,1.7666666666666666,1.2031274907879942e-05
48,3.4430599212646484,1.2251654863357544,0.9972452521324158,0.22792020440101624,1.7833333333333332,1.0453658778440107e-05
49,4.142171859741211,1.513002872467041,0.9944077134132385,0.5185950994491577,1.8,8.985806886701515e-06
50,4.4572858810424805,1.6676478385925293,0.994392454624176,0.6732553243637085,1.8166666666666667,7.631742512670284e-06
51,4.297996997833252,1.586621880531311,0.9944154620170593,0.5922064185142517,1.8333333333333335,6.395177052675795e-06
52,3.5190086364746094,1.2570217847824097,0.9968475103378296,0.2601742744445801,1.85,5.279499846691251e-06
53,3.610053300857544,1.294299602508545,0.9962946176528931,0.29800504446029663,1.8666666666666667,4.287768888388513e-06
54,3.850465774536133,1.4038128852844238,0.99580979347229,0.4080030918121338,1.8833333333333333,3.4227024433899e-06
55,3.600254535675049,1.2884166240692139,0.9961456656455994,0.2922708988189697,1.9,2.6866715986911185e-06
56,4.509792327880859,1.6758774518966675,0.9940551519393921,0.6818222999572754,1.9166666666666665,2.0816937636766186e-06
57,3.438802480697632,1.221632480621338,0.997171938419342,0.22446058690547943,1.9333333333333333,1.609427140540686e-06
58,4.000088214874268,1.4502876996994019,0.9942476153373718,0.45604008436203003,1.95,1.2711661792704668e-06
59,3.438505172729492,1.2213788032531738,0.9971679449081421,0.22421085834503174,1.95,1.0678380296485953e-06
60,3.440680742263794,1.2233030796051025,0.997165858745575,0.22613725066184998,1.95,1e-06
